éšuII <eos> ittadin NUM <eos> gur šebar <eos> šá I ana muhhi <eos> eniá inamdin <eos> lú mukinnu I <eos>
ašú šá I a lú sanga bara<sub>two</sub> <eos> Id ašú šá I <eos> a lú adgub<sub>five</sub> I <eos> I ašú
šá Id a I <eos> uru zíz iti gan u<sub>four</sub> NUMkam <eos> mu NUMkam I <eos> lugal KI lugal kurkur
<eos> <eos> <ENDTOKEN> <UNK> manaNUM gín NUM gín kùbabbar babbarú nuuhhutú <eos> šá ina NUM gín bitqa Id <eos> ašú
šá I a lú azu <eos> ina šuII Id <eos> ašú šá I a I.lú <eos> mahiir elat <eos> NUM
NUM.NUM.NUM qa <em>adi</em> u ur<sub>five</sub>ra kùbabbar <eos> šá ana I sìna <eos> elat kùbabbar igiú šá I <eos> lú sepiir
šá ina muhhi taaddinnu zikari <eos> adi ena:taan iaanu <eos> lú mukinnu I ina šuII <eos> Id mahiir <eos> lú
mukinnu Id ašú šá <eos> I <eos> Id lú sag lugal <eos> ašú šá I lú umbisag <eos> Id ašú
šá I <eos> a I KI iti še u<sub>four</sub> NUMkam <eos> mu NUMkam I lugal KI u kurkurmeš <eos> elat
rašutú šá Id <eos> šá ina zakutu<sub>four</sub> ana muhhi <eos> f ana zú&rceil;.lum.ma <eos> ana I ašú šá I <eos>
a I iddin itibár <eos> Id ana muhhi Id <eos> šeššú šá Id <eos> <eos> <ENDTOKEN> NUM/NUM mana kùbabbar šá
f dumumísu <eos> šá Id a I ina muhhi <eos> Id ašú šá Id <eos> a I ina iti sig<sub>four</sub>
ina sagdušú <eos> inamdin <eos> šenumunšú šá ina igi Id lú mukinnu <eos> Id ašú šá I <eos> Id ašú
šá Id <eos> u lú umbisag Id ašú šá Id <eos> a Id KI iti še u<sub>four</sub> NUMkam <eos> mu
NUMkam I <eos> lugal KI lugal kurkur <eos> <eos> NUM NUM/NUM mana kùbabbar babbarú nuuhhutú <eos> šá ina NUM gín
bitqa ina rašutu šá I <eos> ašú šá Id ina sanga <eos> I mahiir <eos> lú mukinnu Id ù <eos>
Id dumumeš šá I <eos> a I Id ašú šá <eos> Id a I adgub<sub>five</sub> <eos> Id lú umbisag ašú
šá Id <eos> a I KI <eos> iti ab u<sub>four</sub> NUMkam mu NUMkam <eos> I <eos> lugal KI lugal kurkur
<eos> <eos> <ENDTOKEN> NUM NUM.NUM šebar šá I <eos> ašú šá I a I <eos> ina muhhi I ašú šá
I <eos> ina iti izi zúlumma a<sub>four</sub> <eos> NUM gur an.bar šá NUM pi <eos> ina giš šá I <eos>
ina KI inamdin <eos> ta iti izi I iti sigNUM <eos> u<sub>four</sub> NUMkam mu NUM <eos> I lugal KI <eos>
lugal kurkur <eos> <eos> <ENDTOKEN> šebar šá ana amar <eos> šá é d <eos> šá mu NUMkam I <eos> lugal
KI lugal kurkur <eos> <BRK> <eos> NUM gur NUM.NUM lú lunga <eos> <BRK> <eos> NUM udunita<sub>two</sub> nìka<sub>nine</sub> ina kurum<sub>six</sub>há <eos>
Id lú <BRK> <eos> NUM <BRK> haab <BRK> <eos> <BRK> <eos> <UNK> gur kurum<sub>six</sub>há dullu šá é dumu <BRK> <eos>
<BRK> <br <BRK> <eos> <BRK> mu lú kizuúmeš <BRK> <eos> <BRK> šitiikšúsic šá rehušá <eos> <BRK> <UNK> NUM éd <eos>
<BRK> <eos> <eos> <ENDTOKEN> <BRK> iti gan u<sub>four</sub> NUMkam mu NUMkam <eos> I lugal KI lugal kurkur <eos> <BRK> <eos>
NUM gur I lú engar <eos> NUM me <BRK> <eos> NUM me NUM NUM.NUMI <eos> <BRK> <eos> NUM gurI <eos>
<BRK> <eos> NUM gurId <eos> NUM gurI <eos> <BRK> <eos> NUM gurI <eos> <BRK> <eos> NUM gurId <eos> <BRK> <eos>
NUM gurI <eos> <BRK> <eos> NUM gurId u d Id <eos> <BRK> <eos> <UNK> NUM gurId <eos> <BRK> <eos> <BRK>
</em>u<sub>four</sub> NUM <BRK> <eos> <BRK> <eos> NUM gurId <eos> <BRK> <eos> NUM gurId <eos> <BRK> <eos> NUM gurId <eos> <BRK>
<eos> NUM gurI u I <eos> <BRK> <eos> NUM gurId <eos> <BRK> <eos> NUM gurId <eos> <BRK> <eos> NUM gurI
lú gúgal <eos> <BRK> <eos> NUM <BRK> pap NUM <eos> Id a I <eos> <BRK> <eos> NUM gurId <eos> NUM
manakiminId a I <eos> NUM me NUMId a Id <eos> NUM Id a I <eos> NUM <BRK> pap NUM I
<eos> <BRK> <eos> <UNK> NUM gur NUM <BRK> Id <eos> <BRK> <eos> <UNK> <BRK> <eos> <BRK> NUM piI <eos> <BRK>
<eos> NUM <BRK> pap NUMNUM me NUMNUM gur NUM.NUM taptuú <eos> NUM me <BRK> NUM <eos> <BRK> <eos> NUM <BRK>
NUM sagki <BRK> <eos> <BRK> <eos> <UNK> <UNK> <UNK> NUM piI <eos> <BRK> <eos> NUMa <eos> <BRK> gur telit riiksaa
<eos> <BRK> <eos> NUM kiminId lú simug <eos> <BRK> <eos> NUM piNUM gur NUM.NUM.NUM qaI šá kimin šá <eos> <BRK>
<eos> NUM pi luú anbar <eos> <BRK> <eos> NUM gu<sub>four</sub>meš taptuú <eos> <BRK> <eos> NUM me NUMNUM me NUMNUM gur
NUM.NUM <eos> I <eos> <BRK> <eos> NUM gur záh Id <eos> lú sanga KI <eos> <BRK> <eos> NUM gur NUM.NUM.NUM
qaI <eos> <BRK> <eos> NUM gur NUM pi I <eos> <BRK> <eos> NUM gur NUM.NUM Id <eos> <BRK> <eos> <UNK>
NUM gurId <eos> <BRK> <eos> NUM gurI <eos> <BRK> <eos> NUM gurId <eos> <UNK> gur NUM.NUMI <eos> <BRK> <eos> NUM
gurId <eos> <BRK> <eos> <UNK> gurId <eos> <eos> <BRK> nitáa’ <UNK> <BRK> <eos> <BRK> mu.an.na <UNK> <UNK> <UNK> inakas <eos>
<BRK> <eos> NUM me NUM mašihu <BRK> <eos> ana Id <UNK> <BRK> <eos> <BRK> šá égal <BRK> <eos> <BRK> <eos>
NUM gur zúlumma <BRK> <eos> <eos> <ENDTOKEN> epeš úìltì šá NUM en giš <eos> šá šuII Id <eos> <BRK> <eos>
NUM NUM.NUM ú <BRK> <eos> ina lìbbi NUM NUM.NUM šegišì <BRK> <eos> NUM gur riihtu<sub>four</sub> ina é gur<sub>seven</sub> šá ina
šutùm lugal <eos> <BRK> <eos> NUM me NUM mašihi šá maakkasu rehi sattuk Id <eos> <BRK> <eos> NUM mašihi zúlumma
ina pappasu lú lungaútu <eos> šá é d ana I sìnu <eos> <eos> <ENDTOKEN> šebar šá ana sattuk šá iti
apin <eos> mu NUMkam ana I lú ugula sìna <eos> <BRK> <eos> <UNK> <UNK> <UNK> <UNK> gín NUMtú kùbabbar ana
I a <BRK> <eos> <BRK> Id a I <eos> <BRK> <eos> NUM NUM/NUM gín kùbabbar ina pitequ lá <eos> KASAG
šá lú gal italic;">re</span>&lceil;<span <eos> uqu <eos> šá ina igi I <eos> ašú šá I a lú sanga d <eos>
